Country,Total_re_export,Year,ReExport
Slovenia,94440000,2014,4860000
Spain,2277480000,2014,114360000
Sweden,652260000,2014,32820000
Japan,134760000,2014,6660000
Norway,16260000,2014,840000
Russian Federation,609840000,2014,43560000
Switzerland,1485780000,2014,96960000
Tunisia,3660000,2014,0
United Kingdom,1734120000,2014,83400000
United States of America,4526640000,2014,201660000
Austria,869220000,2015,22680000
Belgium,4779780000,2015,267600000
Belgium/Luxembourg,742860000,2015,0
Bulgaria,205620000,2015,16500000
Croatia,57900000,2015,3780000
Cyprus,7980000,2015,180000
Czechia,674640000,2015,81540000
Denmark,289800000,2015,6540000
Estonia,93240000,2015,420000
Finland,284400000,2015,12660000
France,2063880000,2015,72540000
Germany,14558880000,2015,749760000
Greece,187260000,2015,9660000
Hungary,436740000,2015,18660000
Ireland,61080000,2015,3900000
Italy,3678600000,2015,220140000
Latvia,79380000,2015,5700000
Lithuania,184500000,2015,12960000
Luxembourg,152580000,2015,9240000
Malta,1140000,2015,60000
Netherlands,2527200000,2015,148800000
Poland,1525740000,2015,134760000
Portugal,256740000,2015,13920000
Romania,40020000,2015,1800000
Slovakia,373020000,2015,38580000
Slovenia,94440000,2015,5040000
Spain,2277480000,2015,114480000
Sweden,652260000,2015,29880000
Japan,134760000,2015,7020000
Norway,16260000,2015,720000
Russian Federation,609840000,2015,51840000
Switzerland,1485780000,2015,98460000
Tunisia,3660000,2015,60000
United Kingdom,1734120000,2015,78120000
United States of America,4526640000,2015,177480000
Austria,869220000,2016,18480000
Belgium,4779780000,2016,273000000
Belgium/Luxembourg,742860000,2016,0
Bulgaria,205620000,2016,19620000
Croatia,57900000,2016,5940000
Cyprus,7980000,2016,240000
Czechia,674640000,2016,58380000
Denmark,289800000,2016,9120000
Estonia,93240000,2016,780000
Finland,284400000,2016,14520000
France,2063880000,2016,77880000
Germany,14558880000,2016,798780000
Greece,187260000,2016,11820000
Hungary,436740000,2016,21300000
Ireland,61080000,2016,5100000
Italy,3678600000,2016,251580000
Latvia,79380000,2016,7200000
Lithuania,184500000,2016,15420000
Luxembourg,152580000,2016,10260000
Malta,1140000,2016,60000
Netherlands,2527200000,2016,162120000
Poland,1525740000,2016,111120000
Portugal,256740000,2016,15720000
Romania,40020000,2016,3660000
Slovakia,373020000,2016,40800000
Slovenia,94440000,2016,7800000
Spain,2277480000,2016,127500000
Sweden,652260000,2016,33120000
Japan,134760000,2016,6660000
Norway,16260000,2016,1080000
Russian Federation,609840000,2016,47640000
Switzerland,1485780000,2016,104880000
Tunisia,3660000,2016,0
United Kingdom,1734120000,2016,94080000
United States of America,4526640000,2016,190500000
Austria,869220000,2017,18480000
Belgium,4779780000,2017,262620000
Belgium/Luxembourg,742860000,2017,0
Bulgaria,205620000,2017,17520000
Croatia,57900000,2017,4680000
Cyprus,7980000,2017,120000
Czechia,674640000,2017,42180000
Denmark,289800000,2017,7200000
Estonia,93240000,2017,1500000
Finland,284400000,2017,17880000
France,2063880000,2017,90840000
Germany,14558880000,2017,816000000
Greece,187260000,2017,6660000
Hungary,436740000,2017,18780000
Ireland,61080000,2017,8220000
Italy,3678600000,2017,265020000
Latvia,79380000,2017,6660000
Lithuania,184500000,2017,11520000
Luxembourg,152580000,2017,10140000
Malta,1140000,2017,0
Netherlands,2527200000,2017,186240000
Poland,1525740000,2017,105480000
Portugal,256740000,2017,15000000
Romania,40020000,2017,3060000
Slovakia,373020000,2017,34260000
Slovenia,94440000,2017,12720000
Spain,2277480000,2017,136500000
Sweden,652260000,2017,34860000
Japan,134760000,2017,6780000
Norway,16260000,2017,1140000
Russian Federation,609840000,2017,57360000
Switzerland,1485780000,2017,111660000
Tunisia,3660000,2017,0
United Kingdom,1734120000,2017,99720000
United States of America,4526640000,2017,175800000
Austria,869220000,2018,15420000
Belgium,4779780000,2018,262620000
Belgium/Luxembourg,742860000,2018,0
Bulgaria,205620000,2018,18720000
Croatia,57900000,2018,5160000
Cyprus,7980000,2018,60000
Czechia,674640000,2018,44760000
Denmark,289800000,2018,7680000
Estonia,93240000,2018,1260000
Finland,284400000,2018,10740000
France,2063880000,2018,98940000
Germany,14558880000,2018,826200000
Greece,187260000,2018,6060000
Hungary,436740000,2018,19920000
Ireland,61080000,2018,4140000
Italy,3678600000,2018,279540000
Latvia,79380000,2018,8700000
Lithuania,184500000,2018,10800000
Luxembourg,152580000,2018,10680000
Malta,1140000,2018,0
Netherlands,2527200000,2018,202560000
Poland,1525740000,2018,113340000
Portugal,256740000,2018,16020000
Romania,40020000,2018,3240000
Slovakia,373020000,2018,36720000
Slovenia,94440000,2018,19920000
Spain,2277480000,2018,155100000
Sweden,652260000,2018,34740000
Japan,134760000,2018,7440000
Norway,16260000,2018,540000
Russian Federation,609840000,2018,63240000
Switzerland,1485780000,2018,116760000
Tunisia,3660000,2018,0
United Kingdom,1734120000,2018,113340000
United States of America,4526640000,2018,174120000
Austria,869220000,2019,16440000
Belgium,4779780000,2019,300840000
Belgium/Luxembourg,742860000,2019,0
Bulgaria,205620000,2019,21720000
Croatia,57900000,2019,5160000
Cyprus,7980000,2019,1380000
Czechia,674640000,2019,45960000
Denmark,289800000,2019,7800000
Estonia,93240000,2019,1500000
Finland,284400000,2019,10080000
France,2063880000,2019,108720000
Germany,14558880000,2019,828060000
Greece,187260000,2019,6420000
Hungary,436740000,2019,21300000
Ireland,61080000,2019,4140000
Italy,3678600000,2019,326280000
Latvia,79380000,2019,7260000
Lithuania,184500000,2019,13320000
Luxembourg,152580000,2019,10740000
Malta,1140000,2019,0
Netherlands,2527200000,2019,199440000
Poland,1525740000,2019,117120000
Portugal,256740000,2019,17340000
Romania,40020000,2019,3420000
Slovakia,373020000,2019,32820000
Slovenia,94440000,2019,24900000
Spain,2277480000,2019,166560000
Sweden,652260000,2019,34740000
Japan,134760000,2019,9480000
Norway,16260000,2019,900000
Russian Federation,609840000,2019,65820000
Switzerland,1485780000,2019,126840000
Tunisia,3660000,2019,0
United Kingdom,1734120000,2019,106800000
United States of America,4526640000,2019,170520000
